date,time,close,low,sma,entry_signal,exit_signal,account_price,account_balance,position_value,total_value,profit_loss,cumulative_return,drawdown,active_trades
2023-07-03,2023-07-03,31156.2,30570.27,30530.637000000028,1,0,31156.2,333.48,13202.01,13535.49,3535.49,35.35,2.35,10.0
2023-07-04,2023-07-04,30766.51,30620.0,30554.54500000003,1,0,30766.51,333.48,13036.88,13370.36,3370.36,33.7,3.54,10.0
2023-07-05,2023-07-05,30504.81,30200.0,30558.76000000003,0,-1,30504.81,13258.18,0.0,13258.18,3258.18,32.58,4.35,0.0
2023-07-06,2023-07-06,29895.43,29850.45,30521.504000000034,0,-1,29895.43,13258.18,0.0,13258.18,3258.18,32.58,4.35,0.0
2023-07-07,2023-07-07,30344.7,29701.02,30486.730000000032,0,-1,30344.7,13258.18,0.0,13258.18,3258.18,32.58,4.35,0.0
2023-07-08,2023-07-08,30284.63,30044.47,30507.452000000038,0,-1,30284.63,13258.18,0.0,13258.18,3258.18,32.58,4.35,0.0
2023-07-09,2023-07-09,30160.71,30061.12,30478.792000000038,0,-1,30160.71,13258.18,0.0,13258.18,3258.18,32.58,4.35,0.0
2023-07-10,2023-07-10,30411.57,29950.0,30472.74900000004,0,-1,30411.57,13258.18,0.0,13258.18,3258.18,32.58,4.35,0.0
2023-07-11,2023-07-11,30622.1,30300.0,30476.369000000035,1,0,30622.1,9280.72,3977.06,13257.78,3257.78,32.58,4.35,1.0
2023-07-12,2023-07-12,30380.0,30210.0,30452.666000000037,0,-1,30380.0,13225.94,0.0,13225.94,3225.94,32.26,4.58,0.0
2023-07-13,2023-07-13,31454.23,30251.0,30482.469000000034,1,0,31454.23,9258.16,3967.39,13225.54,3225.54,32.26,4.58,1.0
2023-07-14,2023-07-14,30312.01,29900.0,30437.019000000037,0,-1,30312.01,13081.09,0.0,13081.09,3081.09,30.81,5.63,0.0
2023-07-15,2023-07-15,30289.52,30200.0,30415.490000000038,0,-1,30289.52,13081.09,0.0,13081.09,3081.09,30.81,5.63,0.0
2023-07-16,2023-07-16,30231.99,30064.29,30449.146000000037,0,-1,30231.99,13081.09,0.0,13081.09,3081.09,30.81,5.63,0.0
2023-07-17,2023-07-17,30138.0,29659.2,30428.476000000035,0,-1,30138.0,13081.09,0.0,13081.09,3081.09,30.81,5.63,0.0
2023-07-18,2023-07-18,29859.13,29512.0,30385.926000000036,0,-1,29859.13,13081.09,0.0,13081.09,3081.09,30.81,5.63,0.0
2023-07-19,2023-07-19,29909.21,29761.96,30360.776000000034,0,-1,29909.21,13081.09,0.0,13081.09,3081.09,30.81,5.63,0.0
2023-07-20,2023-07-20,29800.0,29570.96,30299.619000000035,0,-1,29800.0,13081.09,0.0,13081.09,3081.09,30.81,5.63,0.0
2023-07-21,2023-07-21,29901.72,29726.34,30227.581000000042,0,-1,29901.72,13081.09,0.0,13081.09,3081.09,30.81,5.63,0.0
2023-07-22,2023-07-22,29794.0,29625.1,30168.98100000004,0,-1,29794.0,13081.09,0.0,13081.09,3081.09,30.81,5.63,0.0
2023-07-23,2023-07-23,30083.75,29730.0,30031.93300000004,1,0,30083.75,9156.76,3923.93,13080.7,3080.7,30.81,5.63,1.0
2023-07-24,2023-07-24,29176.5,28861.9,29918.38200000004,0,-1,29176.5,12961.98,0.0,12961.98,2961.98,29.62,6.49,0.0
2023-07-25,2023-07-25,29228.91,29047.65,29812.321000000036,0,-1,29228.91,12961.98,0.0,12961.98,2961.98,29.62,6.49,0.0
2023-07-26,2023-07-26,29351.96,29096.94,29724.31800000004,0,-1,29351.96,12961.98,0.0,12961.98,2961.98,29.62,6.49,0.0
2023-07-27,2023-07-27,29222.78,29083.85,29632.796000000042,0,-1,29222.78,12961.98,0.0,12961.98,2961.98,29.62,6.49,0.0
2023-07-28,2023-07-28,29314.14,29123.12,29578.297000000042,0,-1,29314.14,12961.98,0.0,12961.98,2961.98,29.62,6.49,0.0
2023-07-29,2023-07-29,29352.9,29256.18,29522.666000000045,0,-1,29352.9,12961.98,0.0,12961.98,2961.98,29.62,6.49,0.0
2023-07-30,2023-07-30,29281.09,29033.24,29470.775000000045,0,-1,29281.09,12961.98,0.0,12961.98,2961.98,29.62,6.49,0.0
2023-07-31,2023-07-31,29232.25,29101.8,29403.82800000005,0,-1,29232.25,12961.98,0.0,12961.98,2961.98,29.62,6.49,0.0
2023-08-01,2023-08-01,29705.99,28585.7,29395.02700000005,1,0,29705.99,9073.39,3888.21,12961.59,2961.59,29.62,6.49,1.0
2023-08-02,2023-08-02,29186.01,28927.5,29305.253000000048,0,-1,29186.01,12893.15,0.0,12893.15,2893.15,28.93,6.98,0.0
2023-08-03,2023-08-03,29193.64,28968.0,29306.96700000005,0,-1,29193.64,12893.15,0.0,12893.15,2893.15,28.93,6.98,0.0
2023-08-04,2023-08-04,29113.99,28807.54,29295.475000000053,0,-1,29113.99,12893.15,0.0,12893.15,2893.15,28.93,6.98,0.0
2023-08-05,2023-08-05,29072.13,28978.64,29267.49200000005,0,-1,29072.13,12893.15,0.0,12893.15,2893.15,28.93,6.98,0.0
2023-08-06,2023-08-06,29088.42,28991.88,29254.056000000048,0,-1,29088.42,12893.15,0.0,12893.15,2893.15,28.93,6.98,0.0
2023-08-07,2023-08-07,29211.06,28701.03,29243.748000000043,0,-1,29211.06,12893.15,0.0,12893.15,2893.15,28.93,6.98,0.0
2023-08-08,2023-08-08,29770.42,29146.45,29285.50000000004,1,0,29770.42,9025.21,3867.56,12892.76,2892.76,28.93,6.99,1.0
2023-08-09,2023-08-09,29581.99,29376.67,29315.590000000037,1,0,29581.99,6317.64,6550.37,12868.01,2868.01,28.68,7.16,2.0
2023-08-10,2023-08-10,29455.75,29320.2,29337.94000000004,1,0,29455.75,4422.35,8417.52,12839.87,2839.87,28.4,7.37,3.0
2023-08-11,2023-08-11,29426.03,29252.45,29309.94400000004,1,0,29426.03,3095.65,9735.6,12831.25,2831.25,28.31,7.43,4.0
2023-08-12,2023-08-12,29430.17,29381.56,29334.360000000037,1,0,29430.17,2166.95,10665.57,12832.52,2832.52,28.33,7.42,5.0
2023-08-13,2023-08-13,29303.84,29272.32,29345.38000000004,0,-1,29303.84,12785.68,0.0,12785.68,2785.68,27.86,7.76,0.0
2023-08-14,2023-08-14,29430.93,29102.45,29377.07400000004,1,0,29430.93,8949.97,3835.32,12785.29,2785.29,27.85,7.76,1.0
2023-08-15,2023-08-15,29200.0,29059.6,29389.86100000004,0,-1,29200.0,12754.82,0.0,12754.82,2754.82,27.55,7.98,0.0
2023-08-16,2023-08-16,28730.51,28723.08,29354.070000000043,0,-1,28730.51,12754.82,0.0,12754.82,2754.82,27.55,7.98,0.0
2023-08-17,2023-08-17,26623.41,25166.0,29095.30500000004,0,-1,26623.41,12754.82,0.0,12754.82,2754.82,27.55,7.98,0.0
2023-08-18,2023-08-18,26054.0,25619.0,28723.66300000004,0,-1,26054.0,12754.82,0.0,12754.82,2754.82,27.55,7.98,0.0
2023-08-19,2023-08-19,26100.01,25801.09,28375.465000000044,0,-1,26100.01,12754.82,0.0,12754.82,2754.82,27.55,7.98,0.0
2023-08-20,2023-08-20,26189.99,25971.05,28048.889000000043,0,-1,26189.99,12754.82,0.0,12754.82,2754.82,27.55,7.98,0.0
2023-08-21,2023-08-21,26126.92,25812.0,27718.978000000043,0,-1,26126.92,12754.82,0.0,12754.82,2754.82,27.55,7.98,0.0
